ID	w1	L1	c1	pc	spelling	coca	pcoca	pbnc	psoap	ph3	ph2	ph1	pc1	pc2	pc3	pc4	pc5	pb1	pb2	pb3	pb4	pb5	pb6	pb7	tpcoca	tpbnc	tpsoap	tph3	tph2	tph1	tpc1	tpc2	tpc3	tpc4	tpc5	tpb1	tpb2	tpb3	tpb4	tpb5	tpb6	tpb7	bnc	fs	fh3	fh2	fh1	fc1	fc2	fc3	fc4	fc5	fb1	fb2	fb3	fb4	fb5	fb6	fb7	tcoca	tbnc	tsoap	th3	th2	th1	tc1	tc2	tc3	tc4	tc5	tb1	tb2	tb3	tb4	tb5	tb6	tb7	
21	they	they	pp	0.23	  	2131091	4589.60	4156.55	2394.84	4409.65	4316.17	4179.39	7323.53	4601.60	3692.26	4151.38	3094.49	9686.40	4811.46	3446.44	4184.24	3450.40	3143.95	3295.25	0.91	0.97	0.99	0.71	0.68	0.89	0.95	0.92	0.85	0.93	0.95	0.97	1.00	1.00	0.96	1.00	1.00	0.95	415655	239484	430617	515362	547236	699874	416120	352828	380754	281803	96512	76547	25028	43794	56915	48202	68657	172354	3941	21807	30396	26980	9662	36365	17606	45193	52894	20296	873	463	210	496	533	499	867
22	be	be	vb0	0.01	  	2118716	4562.95	6436.38	6890.73	5041.70	5598.18	6426.86	5475.50	3757.46	4221.69	4177.33	5151.51	5994.38	4966.21	5653.96	5961.16	6542.64	8834.26	7587.46	0.95	0.99	1.00	0.83	0.81	0.97	0.96	0.93	0.91	0.96	0.99	0.97	1.00	1.00	0.99	1.00	1.00	0.99	643638	689073	492338	668437	841513	523267	339785	403419	383134	469128	59726	79009	41059	62392	107922	135444	158086	179249	4004	21985	35235	32072	10533	36774	17960	48502	54929	21084	873	462	210	515	533	501	910
23	are	be	vbr	0.03	  	2104334	4531.98	4593.14	5194.79	3494.46	3496.38	3717.15	5699.60	2244.10	4716.03	4683.60	5232.37	4824.53	2102.73	5431.57	4509.85	4527.20	6154.65	5860.62	0.94	0.98	1.00	0.74	0.70	0.90	0.96	0.85	0.91	0.95	0.99	0.97	0.99	1.00	0.97	1.00	1.00	0.99	459314	519479	341245	417477	486712	544683	202933	450658	429568	476492	48070	33453	39444	47202	74677	94361	122107	176904	3987	21983	31611	27648	9804	36668	16273	48691	54219	21053	876	460	210	504	532	501	904
24	have	have	vh0	0.01	  	2095853	4513.71	4558.85	7770.66	4152.44	4312.04	4853.53	6950.73	3605.73	3953.36	4357.71	3604.32	7736.31	4547.02	4521.35	5023.88	3661.74	4347.28	4511.36	0.94	0.99	1.00	0.79	0.74	0.93	0.97	0.92	0.90	0.96	0.99	0.99	1.00	1.00	0.98	0.99	1.00	0.98	455885	777066	405499	514868	635507	664247	326064	377778	399678	328232	77082	72340	32834	52582	60401	66651	93995	178290	3997	21984	33732	29279	10141	37149	17641	47924	54621	20955	889	463	210	506	531	500	898
25	we	we	pp	0.31	  	2092768	4507.07	3468.31	7652.17	3372.32	3193.83	3581.75	9615.33	3898.39	3383.01	3228.80	2222.60	10803.16	3266.07	2612.23	2757.48	1878.43	2372.48	3457.66	0.82	0.95	1.00	0.47	0.42	0.74	0.95	0.84	0.74	0.82	0.78	0.98	0.99	1.00	0.92	0.97	0.92	0.92	346831	765217	329318	381351	468984	918890	352529	323276	296137	202404	107639	51961	18970	28861	30985	36374	72041	155594	3847	21984	20148	16459	8029	36335	16171	39433	47004	16651	882	460	210	478	517	461	839
26	his	his	appge	0.07	  	2054779	4425.26	3995.42	1741.09	7214.33	7707.57	8920.12	2785.59	9130.64	3770.29	4448.90	2137.66	1314.28	9542.96	3172.13	5171.30	2749.35	2242.81	3730.57	0.76	0.90	0.98	0.76	0.74	0.88	0.77	0.90	0.67	0.83	0.67	0.78	1.00	1.00	0.93	0.96	0.95	0.86	399542	174109	704503	920303	1167973	266205	825678	360284	408042	194669	13095	151822	23036	54125	45351	34386	77727	143984	3632	21462	32367	29320	9562	29590	17320	35556	47305	14213	696	462	210	483	512	478	791
27	but	but	cc	0.39	  	2048800	4412.38	4339.31	5776.84	4843.98	5002.73	5581.19	5578.89	5322.28	4221.41	4307.75	2590.64	6582.32	6024.77	4349.63	5085.12	3538.67	3570.65	3579.14	0.95	0.98	1.00	0.84	0.77	0.94	0.97	0.95	0.92	0.96	0.95	0.98	1.00	1.00	0.99	1.00	1.00	0.96	433931	577684	473030	597339	730784	533147	481291	403393	395096	235920	65584	95850	31587	53223	58371	54744	74572	179703	3979	21984	35881	30370	10190	37250	18239	49248	54863	20103	879	463	210	513	532	500	882
28	that	that	dd	0.07	  	1968632	4239.73	3683.70	11131.85	3713.10	3816.95	3705.53	8740.49	4485.67	2826.20	2967.06	2037.67	13711.93	4801.02	2155.06	1955.78	1967.85	2480.62	2340.08	0.90	0.97	1.00	0.66	0.64	0.90	0.97	0.93	0.83	0.91	0.94	1.00	0.99	1.00	0.94	0.99	1.00	0.94	368370	1113185	362596	455754	485191	835286	405636	270068	272131	185563	136621	76381	15650	20470	32460	38032	48756	171104	3950	21985	28306	25395	9750	37167	17868	44088	51952	20029	900	460	210	489	531	500	860
29	from	from	ii	0.04	  	1884593	4058.74	4163.24	1901.65	3990.27	4009.16	4476.44	3436.12	4043.36	4275.21	4178.04	4381.91	2405.54	3811.35	4887.50	5109.20	4713.25	4490.44	4615.28	0.96	0.97	0.99	0.86	0.81	0.95	0.95	0.94	0.95	0.98	0.99	0.91	1.00	1.00	0.98	1.00	1.00	0.99	416324	190165	389663	478704	586131	328373	365639	408534	383199	399044	23968	60636	35493	53475	77746	68846	96160	181874	3944	21846	36483	32209	10333	36368	18134	50427	55834	21111	821	463	210	509	533	500	908
30	not	not	xx	0.05	  	1871822	4031.23	4447.14	7230.46	4762.39	5333.63	6656.65	4923.28	4092.75	3253.96	3465.00	4422.82	4861.26	5182.00	3439.69	3506.64	4106.59	5862.64	4537.14	0.92	0.98	1.00	0.80	0.79	0.95	0.94	0.93	0.86	0.94	0.98	0.98	1.00	1.00	0.97	1.00	1.00	0.98	444714	723046	465063	636849	871602	470494	370105	310944	317801	402769	48436	82442	24979	36702	67739	89884	94532	174028	3985	21983	33919	31111	10394	36035	17856	45798	53523	20816	881	463	210	504	533	499	895
